OrderID,Date,Order_type ,Action,Indicator,Set_description,Number of Sets,Profit
9ada9d1e-7f7f-40fa-84ae-5631e3ed8157,1957-10-17,Option,Buy,RSI,Buy 1 call option,100,-70485.09468690463,
378469e3-efa1-4d12-86a5-c6fe2a252a21,1957-11-06,Option,Sell,RSI,Sell 1 put option,100,73224.80852410158,
83576053-87e5-46ef-af96-983bccfe0487,1957-11-13,Option,Buy,RSI,Buy 1 call option,100,-55345.074964102154,
22dec155-b747-4f67-b174-4306c89898cb,1958-02-04,Option,Sell,RSI,Sell 1 put option,100,69124.80076250024,
996cce43-7854-4d6b-b674-3941df987909,1958-02-19,Option,Buy,RSI,Buy 1 call option,100,-40475.11073910267,
077d6116-56fc-460d-b523-b177b5b3ef3b,1958-03-07,Option,Sell,RSI,Sell 1 put option,100,68214.79990780249,
ec92edbd-4b51-4add-86f7-9eb7f1cc9baf,1958-04-18,Option,Sell,RSI,Sell 1 put option,100,64194.79611940466,
b2785d96-e80a-44ed-a24d-eb1cc2dd91de,1958-05-01,Option,Sell,RSI,Sell 1 put option,100,72834.7906446981,
cfeaa1f2-ee9c-4245-9591-5eb72d014fb6,1958-05-29,Option,Sell,RSI,Sell 1 put option,100,76764.78747999943,
e108b2ee-29ca-4510-822f-ed2df3f31c86,1958-06-19,Option,Sell,RSI,Sell 1 put option,100,79644.78295240247,
7caa9b9d-7ab6-4e5a-8939-7dc2ce23c23a,1958-07-24,Option,Sell,RSI,Sell 1 put option,100,83754.7742667947,
4abad21d-94f8-495e-b3c0-9104716cfd1e,1958-09-02,Option,Sell,RSI,Sell 1 put option,100,88784.76740610262,
7478b5e4-ee33-4e3a-a09a-fb52932fe556,1958-09-12,Option,Sell,RSI,Sell 1 put option,100,89944.76465720659,
ba5f05b7-59cd-41ee-acb1-ff72f8b97493,1958-10-03,Option,Sell,RSI,Sell 1 put option,100,94534.75557890457,
0da20254-a9a2-4bcd-b658-302d5d6ff8f4,1958-10-28,Option,Buy,RSI,Buy 1 call option,100,-43875.148828700454,
8913e9a3-3d74-472b-a8bd-5d282e587d70,1958-11-06,Option,Sell,RSI,Sell 1 put option,100,98774.75165189477,
4d2f69e0-19cf-4320-ac73-a81625a35a47,1958-11-26,Option,Buy,RSI,Buy 1 call option,100,-63055.14815880038,
82017ae5-5938-44be-9a50-5a872ec261da,1958-12-10,Option,Sell,RSI,Sell 1 put option,100,100934.74643130068,
3be45704-f322-41f1-a64a-d943e20793bc,1958-12-17,Option,Sell,RSI,Sell 1 put option,100,101924.7448836047,
e75634f6-3c63-4a9d-a57b-b90760bcca8f,1959-03-23,Dividend,Pay,Empty,Pay dividends to investors,1,0.0,
b102d6ad-705c-4c50-8c3c-e328f81f22e8,1958-12-30,Option,Sell,RSI,Sell 1 put option,100,104074.74502219817,
5677de81-1de9-4428-9076-7047b80e5570,1959-04-01,Option,Sell,Unemployment,Sell 1 put option,100,106414.93567805116,
85c70ab9-37bb-4f9c-ae58-a8b827fc2256,1959-01-09,Option,Sell,RSI,Sell 1 put option,100,105804.74141860448,
8bdfb440-b773-41d6-82cf-40e67f7f8560,1959-01-22,Option,Sell,RSI,Sell 1 put option,100,106144.73735299791,
d99a4cd3-efd1-4032-a45b-283cb60e6e3f,1959-01-30,Option,Buy,RSI,Buy 1 call option,100,-85255.14303289996,
a43904d2-0657-4457-8efe-16884b56a2b1,1959-02-05,Option,Buy,RSI,Buy 1 call option,100,-77115.13307910178,
c649bff5-d178-4991-ae59-41c3bb0bb002,1959-02-24,Option,Sell,RSI,Sell 1 put option,100,105154.73744540018,
5326a4dc-8849-43c0-8311-c4fc75d1661f,1959-02-27,Option,Sell,RSI,Sell 1 put option,100,105044.73712200188,
696748a6-7715-4cc4-8747-8cea1215022f,1959-03-11,Option,Sell,RSI,Sell 1 put option,100,107274.73963990297,
ad1b3593-569b-4730-bdd5-e83e9f835a64,1959-04-01,Option,Buy,Unemployment,Buy 1 call option,100,-80095.31445335258,
732f0435-2b40-4856-849e-19f4022bf2a6,1959-04-01,Option,Buy,RSI,Buy 1 call option,100,-79715.11506570212,
