Date,Pe_value
01/10/2012,16.62
01/11/2012,16.12
01/12/2012,16.44
01/01/2013,17.03
01/02/2013,17.32
01/03/2013,17.68
01/04/2013,17.69
01/05/2013,18.25
01/06/2013,17.8
01/07/2013,18.12
01/08/2013,17.91
01/09/2013,17.88
01/10/2013,17.86
01/11/2013,18.15
01/12/2013,18.04
01/01/2014,18.15
01/02/2014,18.06
01/03/2014,18.48
01/04/2014,18.35
01/05/2014,18.46
01/06/2014,18.88
01/07/2014,18.96
01/08/2014,18.68
01/09/2014,18.81
01/10/2014,18.5
01/11/2014,19.75
01/12/2014,20.08
01/01/2015,20.02
01/02/2015,20.77
01/03/2015,20.96
01/04/2015,21.42
01/05/2015,21.92
01/06/2015,22.12
01/07/2015,22.4
01/08/2015,22.15
01/09/2015,21.45
01/10/2015,22.68
01/11/2015,23.67
01/12/2015,23.74
01/01/2016,22.18
01/02/2016,22.02
01/03/2016,23.39
01/04/2016,23.97
01/05/2016,23.81
01/06/2016,23.97
01/07/2016,24.52
01/08/2016,24.57
01/09/2016,24.22
01/10/2016,23.57
01/11/2016,23.35
01/12/2016,23.76
01/01/2017,23.59
01/02/2017,23.68
01/03/2017,23.6
01/04/2017,23.23
01/05/2017,23.24
01/06/2017,23.36
01/07/2017,23.15
01/08/2017,23.36
01/09/2017,23.11
01/10/2017,23.55
01/11/2017,24.09
01/12/2017,24.7
01/01/2018,25.06
01/02/2018,26.3
01/03/2018,25.01
