Date,Open,High,Low
09/08/1991,389.320007,389.890015,387.040009
12/08/1991,387.109985,388.170013,385.899994
13/08/1991,388.019989,392.119995,388.019989
14/08/1991,389.619995,391.850006,389.130005
15/08/1991,389.910004,391.920013,389.290009
16/08/1991,389.329987,390.410004,383.160004
19/08/1991,385.579987,385.579987,374.089996
20/08/1991,376.470001,380.350006,376.470001
21/08/1991,379.549988,390.589996,379.549988
22/08/1991,390.589996,391.980011,390.209991
23/08/1991,391.329987,395.339996,390.690002
26/08/1991,394.170013,394.390015,392.75
27/08/1991,393.850006,393.869995,391.769989
28/08/1991,393.059998,396.640015,393.049988
29/08/1991,396.649994,396.820007,395.140015
30/08/1991,396.470001,396.470001,393.600006
03/09/1991,395.429993,397.619995,392.100006
04/09/1991,392.149994,392.619995,388.679993
05/09/1991,389.970001,390.970001,388.48999
06/09/1991,389.140015,390.709991,387.359985
09/09/1991,389.109985,389.339996,387.880005
10/09/1991,388.570007,388.630005,383.779999
11/09/1991,384.559998,385.600006,383.589996
12/09/1991,385.089996,387.339996,385.089996
13/09/1991,387.160004,387.950012,382.850006
16/09/1991,383.589996,385.790009,382.769989
17/09/1991,385.779999,387.130005,384.970001
18/09/1991,385.48999,386.940002,384.279999
19/09/1991,386.940002,389.420013,386.269989
20/09/1991,387.559998,388.820007,386.48999
23/09/1991,387.899994,388.549988,385.76001
24/09/1991,385.920013,388.130005,384.459991
25/09/1991,387.720001,388.25,385.98999
26/09/1991,386.869995,388.390015,385.299988
27/09/1991,386.48999,389.089996,384.869995
30/09/1991,385.910004,388.290009,384.320007
01/10/1991,387.859985,389.559998,387.859985
02/10/1991,389.200012,390.029999,387.619995
03/10/1991,388.230011,388.230011,384.470001
04/10/1991,384.470001,385.190002,381.23999
07/10/1991,381.220001,381.269989,379.070007
08/10/1991,379.5,381.230011,379.179993
09/10/1991,380.570007,380.570007,376.350006
10/10/1991,376.799988,380.549988,376.109985
11/10/1991,380.549988,381.459991,379.899994
14/10/1991,381.450012,386.470001,381.450012
15/10/1991,386.470001,391.5,385.950012
16/10/1991,391.01001,393.290009,390.140015
17/10/1991,392.790009,393.809998,390.320007
18/10/1991,391.920013,392.799988,391.769989
21/10/1991,392.48999,392.48999,388.959991
22/10/1991,390.019989,391.200012,387.399994
23/10/1991,387.829987,389.079987,386.519989
24/10/1991,387.940002,388.320007,383.450012
25/10/1991,385.070007,386.130005,382.970001
28/10/1991,384.200012,389.519989,384.200012
29/10/1991,389.519989,391.700012,386.880005
30/10/1991,391.480011,393.109985,390.779999
31/10/1991,392.959991,392.959991,391.579987
01/11/1991,392.459991,395.100006,389.670013
04/11/1991,391.290009,391.290009,388.089996
05/11/1991,390.279999,392.170013,388.190002
06/11/1991,388.709991,389.970001,387.579987
07/11/1991,389.970001,393.720001,389.970001
